ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
UBA5,0.11077362204632024,8.422314249955434,1.5635050472135614,0.11854822768997178,0.9999970699667557,-4.328637733450073
SERPINH1,-0.1350602654441886,9.650740068999937,-1.5633829912556132,0.11857691767088747,0.9999970699667557,-4.328762985156981
SPINK5,-0.17904225134572105,6.362090814414312,-1.5626728187599896,0.11874395627440053,0.9999970699667557,-4.329491560348318
SCAP,0.08928235847769805,8.724808746168312,1.5620391759631744,0.11889315057507181,0.9999970699667557,-4.330141346820631
INVS,-0.08012319939240165,7.871565680089146,-1.5614127381116822,0.11904079326283556,0.9999970699667557,-4.330783489005956
PSMA2,0.06404135095121433,8.29744710371558,1.5612215795161024,0.11908587537270722,0.9999970699667557,-4.330979389162808
WDR6,0.0753547163999535,9.746643630077457,1.5606177580049052,0.11922836647132669,0.9999970699667557,-4.331598032516607
PTDSS2,-0.08794616000374056,8.272437109845292,-1.5599101073280282,0.11939552990382707,0.9999970699667557,-4.332322752971107
PELI1,0.12774026974337716,8.442859682610607,1.559635794969858,0.11946037832965788,0.9999970699667557,-4.332603594938835
PTPRN,-0.17516222590402553,5.991485753873534,-1.55951018945326,0.1194900811607562,0.9999970699667557,-4.3327321740357805
OPHN1,-0.13313087289974135,7.461515740153156,-1.5578098211148108,0.11989275063113054,0.9999970699667557,-4.334471790698826
WNK1,-0.1117579955858563,8.325735351629131,-1.5565654739917565,0.12018810313211757,0.9999970699667557,-4.335743672706762
GUSB,0.109714629606529,9.603166341688167,1.556106988215237,0.12029707113470235,0.9999970699667557,-4.336212050835645
AFAP1,0.12630715978902174,7.7532764324588515,1.5559005453644597,0.12034616158775599,0.9999970699667557,-4.3364229034400665
PROZ,-0.16583702284698365,5.4302930712726765,-1.5557966853182466,0.12037086461946289,0.9999970699667557,-4.3365289715599635
PYY2,0.1476835349558927,5.344832565108227,1.55550450012124,0.12044038199740233,0.9999970699667557,-4.336827331137911
DPP3,-0.1277182565446644,8.537952283293507,-1.5552118696603345,0.12051003690140565,0.9999970699667557,-4.337126089927291
VWF,-0.11171322169874465,9.950798625836036,-1.554569121954236,0.12066314131594207,0.9999970699667557,-4.3377821033467
GOLGA4,0.09768555003102897,8.117579836439528,1.5538198177744038,0.12084182049868566,0.9999970699667557,-4.3385465344182235
WNT4,-0.1476847045316818,6.841828632199018,-1.5529831378532484,0.12104158062557555,0.9999970699667557,-4.339399675103636
SAA1,-0.1846813139785688,8.768885825777534,-1.552702423053891,0.12110866024213114,0.9999970699667557,-4.339685810999977
AKT3,-0.137580256113651,7.034945695321473,-1.55188133193317,0.12130503564011957,0.9999970699667557,-4.3405224656235255
G3BP2,0.087658114775099,8.624118733611116,1.5515641150808135,0.12138096933633291,0.9999970699667557,-4.340845578180689
CARD9,-0.11089988624017977,8.485291756519915,-1.5513477914917748,0.12143277311516287,0.9999970699667557,-4.341065884891983
"NAP1L1",0.12763628796783166,9.638201560072446,1.551228531628255,0.12146134011357328,0.9999970699667557,-4.341187327691549
POLE3,0.08715586647303475,9.485579944740408,1.5512023801482842,0.12146760503202804,0.9999970699667557,-4.341213956616461
CEPT1,-0.10901723451391376,9.258027638146089,-1.55111201250888,0.12148925569651553,0.9999970699667557,-4.341305970676018
TPST2,-0.09549566385618213,9.174054961238747,-1.5507643217027975,0.12157258517074296,0.9999970699667557,-4.34165994674141
TDRD12,-0.16124021998466898,6.359675217124081,-1.5505558016792824,0.12162258171582478,0.9999970699667557,-4.341872198621302
PLCH1,0.14847560958722106,7.440661056554631,1.5504330197534764,0.12165202850296045,0.9999970699667557,-4.341997164775104
ESR1,-0.14851177655088232,7.615155590602973,-1.5503116670766315,0.12168113800705635,0.9999970699667557,-4.342120666651845
PCDHB1,0.12953616650121624,4.867857076440302,1.5502404095681328,0.12169823346525449,0.9999970699667557,-4.342193181708075
RPL12,0.12432141629864368,11.967896806507618,1.5488213199497776,0.1220390810440962,0.9999970699667557,-4.3436366298172535
JUN,0.10841179214918917,9.560441219322156,1.5481105930942467,0.12221006978993787,0.9999970699667557,-4.344359065562847
MTA1,0.15682097351275104,8.910137912780526,1.5470004724876756,0.12247752151434224,0.9999970699667557,-4.345486819677568
MTHFD2L,0.09344394599621708,7.2814851684900175,1.546975455807787,0.12248355384641005,0.9999970699667557,-4.34551222452544
FAM86A,-0.08638346025728261,8.285690977864148,-1.5468474183619658,0.12251443146841341,0.9999970699667557,-4.345642242295053
